index	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*type	*uber	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	*eol
Earthshifter	100	1		1		77	69	7gm	thunder maul			3	5000								dmg%		250	340	hit-skill	Eruption	25	28	crush		33	33	swing2		40	40	charged	Volcano	30	14	skilltab	17	7	7	cast2		80	80	ease		-25	-25													splash	358	100	1	0
Wraithflight	100	1		1		84	76	7gl	ghost glaive			3	5000	dblu	dblu						dmg%		150	250	pierce		30	30	lifesteal		6	12	mana-kill		5	15	dmg-mag		50	150																									splash	358	100	1	0
Bonehew	100	1		1		72	64	7o7	ogre axe			3	5000	bwht	bwht						dmg%		270	320	swing2		30	30	charged	Corpse Explosion	30	14	hit-skill	Bone Spear	50	22	noheal		1	1	sock		2	4																					splash	358	100	1	0
Ondal's Wisdom	100	1		1		74	66	6cs	elder staff			3	5000				invcstu				cast2		105	105	enr		40	50	allskills		2	4	ac		750	950	red-mag		10	16																									splash	358	100	1	0
The Reedeemer	100	1		1		80	72	7sc	mighty scepter			3	5000								dmg%		250	300	dmg-demon		200	250	pal		2	2	ease		-60	-60	skill	Redemption	2	4	skill	Holy Bolt	2	4	light		3	3	reduce-ac		33	33	dmg		60	120	skill	119	2	4					splash	358	100	1	0
Headhunter's Glory	100	1		1		83	75	ush	troll nest			3	5000				invbshu				ac		320	420	ac-miss		300	350	res-pois		30	40	sock		1	3	res-fire		20	30	heal-kill		5	7	att-skill	AmpDmg Proc	16	15	att		280	445	move2		25	25													0
Steelrend	100	1		1		78	70	uhg	ogre gauntlets			3	5000								ac		170	210	str		15	20	dmg%		50	80	crush		10	20	thorns		250	250																									splash	358	100	1	0
Rainbow Facet	100	1		1		85	49	jew	jewel			3	5000								dmg-ltng		1	74	pierce-ltng		3	5	extra-ltng		3	5	death-skill	Chain Lightning	100	47																																	0
Rainbow Facet	100	1		1		85	49	jew	jewel			3	5000								dmg-cold	3	24	38	pierce-cold		3	5	extra-cold		3	5	death-skill	Blizzard	100	37																																	0
Rainbow Facet	100	1		1		85	49	jew	jewel			3	5000								dmg-fire		17	45	pierce-fire		3	5	extra-fire		3	5	death-skill	Meteor	100	31																																	0
Rainbow Facet	100	1		1		85	49	jew	jewel			3	5000								dmg-pois	50	187	187	pierce-pois		3	5	extra-pois		3	5	death-skill	Poison Nova	100	51																																	0
Rainbow Facet	100	1		1		85	49	jew	jewel			3	5000								dmg-ltng		1	74	pierce-ltng		3	5	extra-ltng		3	5	levelup-skill	Nova	100	41																																	0
Rainbow Facet	100	1		1		85	49	jew	jewel			3	5000								dmg-cold	3	24	38	pierce-cold		3	5	extra-cold		3	5	levelup-skill	Frost Nova	100	43																																	0
Rainbow Facet	100	1		1		85	49	jew	jewel			3	5000								dmg-fire		17	45	pierce-fire		3	5	extra-fire		3	5	levelup-skill	Blaze	100	29																																	0
Rainbow Facet	100	1		1		85	49	jew	jewel			3	5000								dmg-pois	50	187	187	pierce-pois		3	5	extra-pois		3	5	levelup-skill	Venom	100	23																																	0
Hellfire Torch	100	1		0		120	75	cm2	charm			3	5000			flptrch	invtrch	item_gem	12	item_gem	randclassskill1		0	6	vit		30	60	enr		10	20	res-all		10	20	light		4	8																													0
Itheraels Path	100	1		0		131	85	utb	mirrored boots			5	5000				dcloneboots				ac		40	60	cast2		20	20	move2		20	20	dex		10	20	vit		10	20	balance2		20	20																									0
Overlords Helm	100	1		0		131	85	uhl	Giant Conch			3	5000	cred			dclonehelm				pierce-phys		20	25	lifesteal		5	10	ac		460	680	str		20	20	enr		-30	-30	vit		15	15	dex		15	15																					0
Dark Abyss	100	1		0		131	85	uth	Lacquered Plate			5	5000	blac			dclonearmor				ac%		150	250	heal-kill		6	10	mana-kill		6	10	res-cold		40	60	res-fire		-40	-60	cast2		50	50	allskills		2	2	ease		-20	-20																	0
Aidans Scar	100	1		0		131	85	7qr	Scissors Suwayyah			5	5000	blac			dcloneclaw				dmg%		440	480	swing2		40	40	skilltab	19	3	4	dmg-min		30	30	indestruct		1	1	hit-skill	442	30	20	vit		-20	-30	att/lvl	12															splash	358	100	1	0
Hadriels Hand	100	1		0		131	85	7bs	Conquest Sword			5	5000	cred			dclonesword				dmg%		450	500	swing2		30	30	hit-skill	447	25	20	dmg-fire		500	850	dex		20	30	indestruct		1	1	dmg-max		50	50																	splash	358	100	1	0
True Silver	100	1		1		24	20	am5	Maiden Javelin			3	5000	bwht			truesilver				dmg%		80	120	mag%		25	45	swing2		40	40	crush		10	15	dmg/lvl	18																											splash	358	100	1	0
Quetzalcoatl	100	1		1		35	29	dr2	Hawk Helm			3	5000	cred			Quetzalcoatl				ac%		50	80	dru		1	2	cast2		10	10	heal-kill		2	4	res-cold		10	25	gust-reduction		50	50																									0
Cyclopean Roar	100	1		1		34	28	ba6	Jawbone Visor			3	5000	lgld			Cyclopean				ac%		90	145	leapspeed		20	20	move2		20	20	hit-skill	Battle Cry	8	6	skilltab	14	2	3																													0
Sankekur's Fall	100	1		1		37	29	pa3	Heraldic Shield			3	5000	lgld			Sankekur				dmg-cold	150	55	90	dmg-fire		40	120	dmg-ltng		1	185	ac%		120	165	red-mag		2	5	ignore-ac		1	1	mana-kill		2	4																					0
Mage Slayer	100	1		1		32	27	9ar	Quhab			3	5000	lgld			mageslayer				dmg%/lvl	20			skill	275	2	2	balance2		20	20	aura	113	3	6	str		10	15	light		6	6																					splash	358	100	1	0
Kalans Legacy	100	1		1		30	26	ne6	Mummified Trophy			3	5000	cgrn			kalans				nec		1	1	ac		40	75	block2		20	20	block		20	20	sock		1	2	aura	115	4	6																									0
Tempest	100	1		1		28	25	ob6	Glowing Orb			3	5000	dgld			sorcorb				allskills		1	2	gethit-skill	44	8	12	mana		70	115	cast2		30	30	regen-mana		20	30	mana%		20	20	gethit-skill	58	30	16																					0
Dclone Trophy	100	0		0		130	1	cm1	charm			3	5000			flpflag	invflag	item_charm	12	item_charm	hp		20	20	state	dcloneset	1	1	dclone-clout		1	1																																					0
Maxlevel Trophy	100	0		0		130	1	cm1	charm			3	5000			flpflag	invflag	item_charm	12	item_charm	hp		20	20	state	maxlevelset	1	1	maxlevel-clout		1	1																																					0
Dev Charm	100	0		0		130	1	cm1	charm			3	5000			flpcap	devcharm	item_cap	12	item_cap	hp		20	20	state	devaura	1	1	dev-clout		1	1																																					0
Band of Skulls	100	1		0		131	90	rbe	Troll Belt			5	5000				invbsk				ac%		100	150	gethit-skill	Bone Armor	10	24	mag%		25	30	red-dmg%		10	15	sock		1	1	light		-4	-4																									0
Cage of the Unsullied	100	1		0		131	90	rar	Boneweave			5	5000	lgry			invuns				ac%		200	300	res-all		15	20	light		-4	-8	sock		6	6																																	0
The Third Eye	100	1		0		131	90	ram	Amulet			5	5000	oran	oran		invamu				allskills		1	1	cast2		20	20	nofreeze		1	1	light		-4	-4	gethit-skill	FingermageBossNova	10	25	enr		20	30	sock		1	1	socketed-text		1	1																	0
Magefist	0	1		1		31	23	tgl	Light Gauntlets			5	5000	lgry	lgry						cast3		20	20	regen-mana		10	25	poisskill		1	1	dmg-pois	75	204	204	ac		10	10	ac%		20	30																									0
Magefist	0	1		1		31	23	tgl	Light Gauntlets			5	5000	lgry	lgry						cast3		20	20	regen-mana		10	25	ltngskill		1	1	dmg-ltng		1	45	ac		10	10	ac%		20	30																									0
Magefist	0	1		1		31	23	tgl	Light Gauntlets			5	5000	lgry	lgry						cast3		20	20	regen-mana		10	25	coldskill		1	1	dmg-cold		10	18	ac		10	10	ac%		20	30																									0
Rathma Trophy	100	0		0		130	1	cm1	charm			3	5000			flpflag	invflag	item_charm	12	item_charm	hp		20	20	state	rathmaset	1	1	rathma-clout		1	1	state	devaura	1	1																																	0
