skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
Skeleton Splash	393		proc skill (special, melee splash)		163																																																																																																								1	5		none												A1	A1	xx				1													1									1														1						1	8	4	1	1										0	extra phys dmg%			3	range																			1				5	2			8	128																																				0
Force Move	394		force move	69	167																																																																																						54	103																		0		rng		weap										RN	RN	RN				1																						1									1					1						0	8	0	0	1								1																										1								8	128																																				0
Immune Aura	395				65																73731	immune_give	immune_give		80	immune_stat	1																																																																																	1	1	8		none														xx																										30	20																			0	8	0	0	1	1	1		50														16	radius	2	additional radius per level	50	min % resist	120	max % resist									1								8																25	4	3	2	1	1	5	2	2	1	1	1									896	80000
Immune Passive	396				65																73731	immune_get			10	magicresist	200*stat('immune_stat'.accr)+1	lightresist	200*stat('immune_stat'.accr)+1	coldresist	200*stat('immune_stat'.accr)+1	fireresist	200*stat('immune_stat'.accr)+1	poisonresist	200*stat('immune_stat'.accr)+1	damageresist	200*stat('immune_stat'.accr)+1																																																																							1	1	8		none														xx																										1	20																			0	8	0	0	1	1	1		25														16	radius	2	additional radius per level	35	min % resist	150	max % resist									1								8																45	4	3	2	1	1	5	3	3	2	2	2									256	30000
MegademonInfernoBoss	397			53	95												megademoninfernoMapBoss																																																																											54					fetishinferno1	fetishinferno2											1	0		none												SQ	SQ	S1																										1																								1												par1	length of fire	2	density			15	frame length															1								8																																					0
MegademonBlazeBoss	398				23												megademonblazeMapBoss	megademonblazeMapBoss	megademonblazeMapBoss			blaze		ln12		item_fastermovevelocity	ln34																																																		sorceress_cast_fire											fire_cast_2								blaze	firewall	firesmall	firemedium										1	3		none												SC	SC	xx																	1									12	20																			1	7	22	1	1																		15000	Min Frames	25	frames per level	5	frw base	1	frw per level					1	damage synergy	4	damage synergy	1								4															fire	50	2	3	4	6	9	100	2	3	4	6	9	skill('Warmth'.blvl)*par8+skill('Fire Wall'.blvl)*par7								512	50000
MegademonArmaBoss	399				124												armageddoncontrol	armageddoncontrol	armageddoncontrol			armageddon		ln12 + skill('Eruption'.blvl) * par7	par3																																																				druid_firecast_a											druid_fire_cast_2					92				armageddontail	armageddonrock			20	frames	25	fall rate	15	slide rate			1	0		none												SC	SC	xx				1	4																					30	20					Volcano	Hurricane		1											1	8	35	0	1																		15000	base duration	0	duration per level	25	radius to drop meteors	4	frame delay between rocks					50	duration synergy	12	damage synergy	1								8		400	10	13	16	21	25	600	10	15	18	23	27	(skill('Fissure'.blvl)+skill('Molten Boulder'.blvl)+skill('Volcano'.blvl))*par8	fire	400	10	13	16	21	25	600	10	15	18	23	27	(skill('Fissure'.blvl)+skill('Molten Boulder'.blvl)+skill('Volcano'.blvl))*par8								896	80000
FingermageBossNova	400		FingermageBossNova		159												fingermagebossteeth																																																												necromancer_bone_cast											blood_warp				100					fingermagebossteeth	fingermagebossteeth	fingermagebossteeth										1	0		none												S3	S3	S3																	1	36	10							1																								1												par1	# missiles					16	missiles															1								8															mag	900	26	0	0	0	0	1000	26	0	0	0	0										0
FingermageBossDiabWall	401				166												fingermagebosswallmaker																																																												diablo_fire_cast											fire_cast_2				58					fingermagebosswallmaker												1	0		none												SQ	SQ	S1																	1									1																								1	1									3	#missiles							0	?	0	?	0	?	0	?									1								8															mana	1750	0	0	0	0	0	1750	0	0	0	0	0										0
FingermageBossShockWave	402				22												fingermagebossshockwave	fingermagebossshockwave																																																																						warcry				25					fingermagebossshockwave	fingermagebossshockwave											1	0		none												SC	SC	xx				1																						18	20													1						1	8	7	0	1										7	# missiles							6	stun length	0	stun length per level											7	damage synergy	1								8	128	3000						3500																												768	70000
CantorBossEruption	403				28												erruption center																																																												druid_firecast_a											druid_fire_cast_2				28					erruption center												1	0		none												SC	SC	xx				1	4				1								1						druid_firecast_a	druid_fire_cast_2		12	20					Molten Boulder							13							1	8	10	0	1										par1	radius	par2 - (blvl / 10)	frequency					7	radius	6	Missile delay	0	Change duration in Missiles.xls									6	damage synergy	1								8															fire	15	6	12	16	18	22	25	6	12	16	19	23	(skill('Firestorm'.blvl)+skill('Molten Boulder'.blvl))*par8								512	50000
CantorBossTornado	404				118												tornado				42371				3																																																				druid_windcast															69					tornado												1	0		none												SC	SC	xx				1	4												1									24	20					Twister								1						1	8	10	0	1										1	# missiles					par1	damage delay	15	Frame delay between damage	4	Radius of damage											10	damage synergy	1								8		25	8	14	20	24	28	35	8	15	21	25	29	(skill('Arctic Blast'.blvl)+skill('Twister'.blvl)+skill('Hurricane'.blvl))*par8																						768	70000
UnravelerBossMultiShot	405			4	8												unravelerbossmultishot	unravelerbossmultishot																																																																						cast_undead			11	17					unravelerbossmultishot	unravelerbossmultishot											1	7		rng		miss										A1	A1	xx				1																						6	20					Magic Arrow								1		1				1	5	8	1	1										4+stat('immune_stat'.accr)	# missiles	par3	activation frame	0	triggered			4	number of arrows to fire	1	additional arrows per level	1	Acivation frame of arrows.			5	base dmg%	10	dmg% per level			8	damage synergy	1	10	9						8	128	0	0	0	0	0	0	0	0	0	0	0	0																							384	40000
UnravelerBossBuff	406				68												unravelershout					shout	shout	125		damagepercent	100	item_tohit_percent	500																																																															25					unravelershout												1	8		none												SC	SC	SC				1													1									6	20								1											1	8	6	0	1																		100	% AC bonus for friendlies	10	% AC bonus per level	500	duration	250	duration/level							125	duration synergy	1								8																																				384	40000
UnravelerMinionBuff	407				68												unravelershout					battlecommand	battlecommand	125		immune_stat	5	passive_pois_pierce	75																																																															25																	1	8		none												SC	SC	SC				1													1									6	20								1											1	8	6	0	1																		100	% AC bonus for friendlies	10	% AC bonus per level	500	duration	250	duration/level							125	duration synergy	1								8																																				384	40000
BaalMinionBossBerserk	408			68	2																	berserk		13		damageresist	-"min(ln34, 30)"	armor_override_percent	-100																																																	barbarian_grunt_large_1	1																														1	4		h2h		mele										A1	A1	xx				1		1	1								1											24	20					Concentrate								1						1	8	4	0	1										ln12+(skill('Howl'.blvl) + skill('Shout'.blvl))*par8	damage%			15	phys pierce			150	Damage % base	15	Damage % per level	5	-phys res	1	-phys res per level	5	phys pierce	2	phys pierce per level			10	damage synergy	1	100	15						8	128																																			896	80000
BaalMinionBossRabies	409			57	121												rabiesplague						rabies																																																					1	druidwerewolf_bite_1																																1	0		h2h												S3	S3	S3				1		1	1								1											18	20					Feral Rage			2	wolf				1						1	8	10	0	1																																18	damage synergy	1	50	7		1	2			3															pois	800	4	5	7	11	16	900	4	5	7	11	16	(skill('Plague Poppy'.blvl)+skill('Feral Rage'.blvl))*par8	100	10	10	10				640	60000
BaalMinionBossCharge	410			31	67																																																																							1	paladin_charge														25	37																	1	2		none		mele										SQ	A1	xx	4	8	1			1	1								1											12	20					Smite								1						1	8	9	0											ln34+(skill('Vigor'.blvl)+skill('Might'.blvl))*par8	damage %						elem conversion%	150	percent increase in velocity	0	?	100	plus % damage	25	plus % dam per level	2	Trails	0	?			20	damage synergy	1	50	15						8	128																																			512	50000
BaalMinionBossNova	411				22												baalminionbossnova																																																												baal_novacast											warcry				25					baalminionbossnova												1	0		none												S3	S3	S3																										1																								1																																		1								8															fire	50	24	32	32	32	32	75	24	32	32	32	32										0
MonLeap	412		leap	40	77												leapknockback								dm12																																																			1		barbarian_leap_1													29	43																	1	0		none												SQ	A1	xx	13		1																							6	20													1						1	8	2	0	1										ln34	knockback radius							4	min distance	30	max distance	4	Knockback range	1	knockback range per level									1								8																																				384	40000
MonJab	413		jab	5	7																																																																									amazon_jab_1				weapon_1ht_1	weapon_2ht_1								12	16																	1	3		h2h		spea										SQ	A1	xx	1		1	1		1	1								1											1	20													1						1	6	8	1											ln34	dmg%											-15	Percent damage base	3	Percent damage per level									1	10	9						8	128																																			256	30000
MonSmite	414		smite		150																																																																								weapon_2hs_large_1		1																														1	9		h2h	4	shld										S1	S1	xx				1		1	1								1											1	20													1						1	8	2	0											ln34	damage %	"min(250,ln12)"	stunlen					15	Stun Length	5	additional frames/level	15	Percent bonus damage	15	percent damage per level									1				8				8																																				256	30000
MonCharge	415		charge	31	67																																																																							1	paladin_charge														25	37																	1	2		none		mele										SQ	A1	xx	4	8	1			1	1								1											12	20					Smite								1						1	8	9	0											ln34+(skill('Vigor'.blvl)+skill('Might'.blvl))*par8	damage %						elem conversion%	150	percent increase in velocity	0	?	100	plus % damage	25	plus % dam per level	2	Trails	0	?			20	damage synergy	1	50	15						8	128																																			512	50000
MonHolyFreeze	416		holy freeze		81																303747	holywind	holywindcold		ln12	velocitypercent	-dm34	attackrate	-dm34	other_animrate	-dm34																	coldmindam	enms*par5/256	coldmaxdam	exms*par5/256																																																										1	8		none														xx																										18	20					Holy Fire														0	8	0	0	1	1	1		50														6	radius	1	additional radius per level	25	min% slowing	60	max% slowing	5	damage to attack multiplier	0	?	7	damage synergy	15	damage synergy	1				16385				8															cold	2	1	2	3	4	5	3	1	2	3	4	5	skill('Resist Cold'.blvl)*par8+skill('Salvation'.blvl)*par7								640	60000
MonGlacialSpike	417		glacial spike											glacialspike										ln34 * (100 + skill('Blizzard'.blvl) * par7) / 100	ln12																																																				sorceress_cast_cold											ice_cast_2								glacialspike													1	7		none												SC	SC	SC																	1						sorceress_cast_cold			18	20					Ice Blast								1						1	7	20	1	1																		4	radius	0	radius per level	50	freeze frames	3	freeze frames per level					3	freeze synergy	5	damage synergy	1								7															cold	32	14	26	28	30	32	48	15	27	29	31	33	(skill('Ice Bolt'.blvl)+skill('Ice Blast'.blvl)+skill('Frozen Orb'.blvl))*par8								640	60000
MonFrostNova	418		frost nova		22												frostnova	frostnova	frostnova																																																										sorceress_cast_cold											ice_cast_2				25					frostnova												1	6		none												SC	SC	SC																	36	10					sorceress_cast_cold			6	20																			1	8	9	1	1																		9	radius of freeze	3	additional radius/level											10	damage synergy	1								7															cold	4	4	6	8	10	12	8	5	7	9	11	13	(skill('Blizzard'.blvl)+skill('Frozen Orb'.blvl))*par8	200	25	25	25				384	40000
MonFireBall	419		fire ball											fireball																																																															sorceress_cast_fire											fire_cast_2								fireball													1	5		none												SC	SC	xx																	1						sorceress_cast_fire			12	20					Fire Bolt								1						1	7	10	1	1																																14	damage synergy	1								7															fire	12	13	23	28	33	38	28	15	25	30	35	40	(skill('Fire Bolt'.blvl)+skill('Meteor'.blvl))*par8								512	50000
MonWeaken	420		weaken		30																3		weaken	ln34	ln12	damagepercent	-par5																																																		necromancer_curse_cast														18	30					curseweaken		cursecast										1	9		none												SC	SC	SC					4												1						necromancer_curse_cast			6	20					Amplify Damage														1	8	4	0	1																		9	radius	1	radius per level	350	duration	60	additional duration/level	33	% damage target can do							1								8																																				384	40000
MonHydra	421		hydra	14	144																																											passive_fire_mastery	stat('passive_fire_mastery'.accr)	passive_fire_pierce	stat('passive_fire_pierce'.accr)									monhydra1	hydra	99	S2	HydraMissile	lvl	Fire Bolt	skill('Fire Bolt'.blvl)	Fire Ball	skill('Fire Ball'.blvl)							1	sorceress_cast_fire											fire_cast_2			17																		1	7		none												SC	SC	S1					4												1				1		sorceress_cast_fire	fire_cast_2		30	20					Enchant							40							1	7	40	1	1																		250	duration	0	additional duration/level											3	damage synergy	1								7															fire	28	11	15	19	23	27	39	13	17	21	25	29	(skill('Fire Bolt'.blvl) + skill('Fire Ball'.blvl))*par8								896	64000
MonLightning	422		lightning											lightningbolt																																																															sorceress_cast_lightning											light_cast_1								lightningbolt													1	6		none												SQ	SC	xx	12			1													1						sorceress_cast_lightning			12	20					Charged Bolt								1						1	7	16	1	1																		10	minimum damage	20	max damage	4	increase in dam/level (min & max)									8	damage synergy	1								8															ltng	1	0	0	0	0	0	40	8	12	20	28	36	(skill('Charged Bolt'.blvl)+skill('Chain Lightning'.blvl)+skill('Nova'.blvl))*par8								512	50000
Fixed Siege Beast Stomp	423				22												siege beast stomp missile	siege beast stomp missile	siege beast stomp missile																																																										siegebeast_attack_1											siege_beast_dust				25					siege beast stomp missile												1	0		none												A2	A2	A2				1																						1																									1																																	1				1				8		20	10	10	10	10	10	60	10	10	10	10	10																								0
MonAmplifyDamage	424				30																3		amplifydamage	ln34	ln12	damageresist	-par5																																																		necromancer_curse_cast														18	30					curseamplifydamage		cursecast										1	10		none												SC	SC	S2					4												1						necromancer_curse_cast			1	20																			1	8	4	0	1																		3	radius	1	radius per level	200	duration	75	additional duration/level	50	% additional damage taken							1								8																																				256	30000
MonWhirlwind	425		whirlwind	38	76																	whirlwind																																																						1		barbarian_whirlwind													31	45																	1	3		none	2	mele										SQ	A1	xx	10		1			1									1											30	20					Leap Attack	Concentrate							1						1	7	25	1											ln12	damage%							-50	Damage percent per attack	8	Damage percent per level	1	Attacks per tick											1		5						8	128																																			896	80000
MonShout	426		shout		68												shout					shout	shout	ln34+(skill('Battle Orders'.blvl)+skill('Battle Command'.blvl))*par8		skill_armor_percent	ln12																																																			barbarian_shout_1														25					shout												1	8		none												SC	SC	SC				1																						6	20					Howl														1	8	6	0	1																		100	% AC bonus for friendlies	10	% AC bonus per level	500	duration	250	duration/level							125	duration synergy	1								8																																				384	40000
MonDecrepify	427		decrepify		30																3		decrepify	ln34	ln12	velocitypercent	par5	damagepercent	par5	damageresist	par5	attackrate	par5																																												necromancer_curse_cast														18	30					cursedecrepify		cursecast										1	9		none												SC	SC	S2					4												1						necromancer_curse_cast			24	20					Terror														1	8	11	0	1																		6	radius	0	radius per level	100	duration	15	additional duration/level	-50	"% slowed, -dam, -dam resist"							1								8																																				768	70000
MonChainLightning	428		chain lightning		26												chainlightning	chainlightning	chainlightning						par1																																																				sorceress_cast_lightning											light_cast_1				27					chainlightning	chainlightning	chainlightning										1	2		none												SQ	SC	SC	12			1													151	96					sorceress_cast_lightning			18	20					Lightning								1						1	8	9	1	1										ln34 / 5	# hits							20	radius of jump to next target			26	bolts (5ths)	1	bolts per level (5ths)	5	5ths					4	damage synergy	1								8															ltng	1	0	0	0	0	0	40	11	13	15	15	15	(skill('Charged Bolt'.blvl)+skill('Lightning'.blvl)+skill('Nova'.blvl))*par8								640	60000
MonChillingArmor	429		chilling armor		18												chillingarmorbolt					chillingarmor		ln34+(skill('Frozen Armor'.blvl)+skill('Shiver Armor'.blvl))*par7		skill_armor_percent	ln12											hitbymissile	1																																						sorceress_cast_cold				sorceress_shiverarmor							ice_cast_3	chillarmor_hit								chillingarmorbolt												1	5		none												SC	SC	xx																	1						sorceress_cast_cold			24	20					Shiver Armor														1	8	17	0	1	1																	45	% AC Bonus	5	% AC bonus per level	3600	duration	150	duration per level					250	duration synergy	7	damage synergy	1								7															cold	8	2	4	6	8	10	12	3	5	7	9	11	(skill('Frozen Armor'.blvl)+skill('Shiver Armor'.blvl))*par8	100		25	25				768	70000
UberDiabloMeteor	430		meteor		28												ubermeteorcenter								ln12																																																								sorceress_meteor							fire_cast_2				28					ubermeteorcenter												1	0		none												SQ	SQ	SC																										1																								1										ln12								5	radius of explosion	0	radius/level	5	Frames of fire	0	Frames of fire per level									1								8		250						350							fire	1450						1800															0
UberDiabloBoulder	431		immolation arrow	4	10												uberimmolationarrow	uberimmolationarrow																																																											druid_firecast_b											warcry			11	18					uberimmolationarrow	uberimmolationarrow											1	6	1	none												A1	A1	xx				1																						30	20					Exploding Arrow								1						1	7	12	1	1										par1	fire disc radius	par2	damage radius					3	Fire disc radius	4	Radial Damage Radius											8	damage synergy	1								8															fire	5						10														768	70000
UberDiabWall	432				166												uberwallmaker																																																												diablo_fire_cast															58					uberwallmaker												1	0		none												SQ	SQ	S1																	1									1																								1	1									lvl	#missiles							0	?	0	?	0	?	0	?									1								8																																					0
UberDiabLight	433			53	152												uberdiablight																																																												diablo_laser_cast														40	56					uberdiablight				0	interval							1	0		none												SQ	SQ	SC																										1																								1	1											100	length of fire	2	density			40	frame length	0	?	0	?	0	?									1								8																																					0
UberDiabCold	434				100																																																																								diablo_cold_cast																																1	0		none												SQ	SQ	S2																										1																								1	1																	0	?	200	Frames	0	?	0	?									1								8		30	18	18	18	18	18	50	24	24	24	24	24		cold	30	18	18	18	18	18	50	24	24	24	24	24		100	50	50	50					0
UberDiabFire	435				22												uberdiabfire																																																												diablo_fire_cast															25					uberdiabfire												1	0		none												SQ	SQ	S1																										1																								1	1																	0	?	0	?	0	?	0	?									1								8																																					0
UberDiabSuperFire	436				22												ubernova																																																												diablo_fire_cast															25					ubernova												1	0		none												SQ	SQ	S1																										1																								1	1																	0	?	0	?	0	?	0	?									1								8															cold	2500	5	5	5	5	5	2700	5	5	5	5	5	stat('passive_cold_mastery'.accr)									0
WispBossChainLightning	437		chain lightning		26												wispbosschainlightning	wispbosschainlightning	wispbosschainlightning						par1																																																				sorceress_cast_lightning											light_cast_1				27					wispbosschainlightning	wispbosschainlightning	wispbosschainlightning										1	2		none												SQ	SC	SC	12			1													151	96					sorceress_cast_lightning			24	20					Lightning								1						1	7	16	1	1										8	# hits							20	radius of jump to next target			26	bolts (5ths)	1	bolts per level (5ths)	5	5ths					5	damage synergy	1								8															ltng	950	0	0	0	0	0	1500	11	13	15	15	15	(skill('Charged Bolt'.blvl)+skill('Lightning'.blvl))*par8								640	60000
WispMinionLightning	438		lightning											wispminionlightningbolt																																																															sorceress_cast_lightning											light_cast_1								wispminionlightningbolt													1	6		none												SQ	SC	xx	12			1													1						sorceress_cast_lightning			12	20					Charged Bolt								1						1	7	16	1	1																		10	minimum damage	20	max damage	4	increase in dam/level (min & max)									6	damage synergy	1								8															ltng	400	0	0	0	0	0	600	8	12	20	24	26	(skill('Chain Lightning'.blvl)+skill('Charged Bolt'.blvl))*par8								512	50000
WispTotemConviction	439		conviction		66																42371	conviction	conviction		ln12	maxlightresist	-20	lightresist	-60																																																																																1	6		none		mele												xx	5		1																							30	20					Sanctuary														0	8	0	0	1	1	1		25														20	radius	0	additional radius per level	12	% resist reduction	2	% resist reduction per level	10	min % AC reduction	75	max % AC reduction					1								8																																				896	64000
MonLeapAttack	440		leap attack	40	153												leapattacknova			bash					30																																																																		29	97					leapattacknova												1	6		none		mele										SQ	A1	xx	13		1																							24	20					Leap	Concentrate							1						1	6	28	1	1										ln34+(skill('Leap'.blvl)+skill('Bash'.blvl))*par8	%phys damage	blvl * 2 + stat('item_leap_speed'.accr) / 4	speed bonus	par5	aoe range			4	min distance	30	max distance	10	dmg % base	4	dmg % per level	6	aoe range					4	damage synergy	1								8	128																																			640	60000
FingerMageBossSpider	441				101												fingermagebossspider						fingermagecurse	ln12		manarecovery	-(par3 * lvl)																																																		fingermage_bolt_cast_1															57					fingermagespider												1	0		none												SQ	SQ	S1																										1																								1										lvl-1	#subloops							10	base frames	0	frames per level	120	unshifted damage per frame	0	?									1								8																																					0
AmpDmg Proc	442		amplify damage proc		30																3		amplifydamage	ln34	par1 + lvl / 3	damageresist	-(par5 + par6*lvl)																																																		necromancer_curse_cast														18	30					curseamplifydamage		cursecast										1	10		none												SC	SC	S2					4												1						necromancer_curse_cast			1	20													1						1	7	4	1	1																		6	radius	1	radius per level	100	duration	5	additional duration/level	10	% additional damage taken	1	increase per base level					1								8																																				256	30000
Weaken Proc	443		weaken proc		30																3		weaken	ln34	par1 + lvl / 3	damagepercent	-ln56																																																		necromancer_curse_cast														18	30					curseweaken		cursecast										1	9		none												SC	SC	SC					4												1						necromancer_curse_cast			18	20																			1	7	8	1	1																		6	radius	1	radius per level	250	duration	35	additional duration/level	10	% damage reduc	1	% damage reduc per level					1								8																																				384	40000
Iron Maiden Proc	444		iron maiden proc		30																3		ironmaiden	ln34	par1 + lvl / 3													domeleedamage	4	damagedbymissile	4																																				necromancer_curse_cast														18	30					curseironmaiden		cursecast										1	9		none												SC	SC	S2					4												1									12	20																			1	7	10	1	1										ln56	% damage to return	(ln56) / 4	% damage to return vs. players	(ln56) / 4	% damage to return other			6	radius	0	radius per level	150	duration	30	additional duration/level	200	% damage returned to accursed	25	% additional returned/level			6	damage synergy	1				16385		141		8																																				512	50000
Life Tap Proc	445		life tap proc		30																3		lifetap	ln34	par1 + lvl / 3													damagedinmelee	5	damagedbymissile	5																																				necromancer_curse_cast									steallife					18	30					cursereversevampire		cursecast										1	4		none												SC	SC	S2					4												1						necromancer_curse_cast			12	20																			1	7	8	1	1										par5 + par6 * lvl	hp % returned							6	radius	1	radius per level	175	duration	35	additional duration/level	8	% damage healed	1	% additional heal/level					1								8																																				640	60000
Decrepify Proc	446		decrepify proc		30																3		decrepify	ln34	par1 + lvl / 3	velocitypercent	-(par5 + lvl)	attackrate	-(par6 + lvl)	item_fastercastrate	-(par6 + lvl)	item_leap_speed	-(par6 + lvl)																																												necromancer_curse_cast														18	30					cursedecrepify		cursecast										1	9		none												SC	SC	S2					4												1						necromancer_curse_cast			24	20																			1	7	22	1	1																		6	radius	1	radius per level	100	duration	10	additional duration/level	10	movespeed	15	attack/cast speed					1								8																																				768	70000
LowRes Proc	447		lower resist proc		30																3		lowerresist	ln34	par1 + lvl / 3	fireresist	-1 * (par5 + par6*lvl)	lightresist	-1 * (par5 + par6*lvl)	coldresist	-1 * (par5 + par6*lvl)	poisonresist	-1 * (par5 + par6*lvl)																																												necromancer_curse_cast														18	30					curselowerresist		cursecast										1	8		none												SC	SC	S2					4												1						necromancer_curse_cast			30	20																			1	7	44	1	1																		10	radius	1	radius per level	200	duration	25	additional duration/level	10	min % resist lower	1	-% per level					1								8																																				896	80000
Iceboss Freezing Arrow	448		freezing arrow	4										freezingarrow											par1+(blvl / 4)																																																																		11					freezingarrow													1	7	1	rng		miss										A1	A1	xx				1																						30	20					Ice Arrow								1		1				1	6	18	1	1										par1	damage radius							8	Radius of impact									6	damage synergy2	0	length synergy	6	damage synergy	1	40	10						8	128														cold	35	10	15	20	25	30	55	10	15	20	25	28	(skill('Ice Arrow'.blvl))*par8 + skill('Cold Arrow'.blvl)*par6	25							896	80000
Iceboss Blizzard	449		blizzard		28												blizzardcenter	blizzardcenter	blizzardcenter																																																										sorceress_cast_cold											ice_cast_3				28					blizzardcenter												1	7		none												SC	SC	xx					4				1								1						sorceress_cast_cold	ice_cast_3		24	20					Frost Nova	Glacial Spike						25	1						1	7	26	1	1										par1	radius	par3	frequency					7	radius			2	Missile delay	0	Change duration in Missiles.xls							12	damage synergy	1								8															cold	15	3	6	9	12	15	25	5	8	11	14	17	(skill('Ice Bolt'.blvl)+skill('Glacial Spike'.blvl))*par8	100							768	70000
Lightning Strike Cowboss	450		lightning strike	10	14												lightningstrike	lightningstrike	lightningstrike						par1																																																																			22					lightningstrike	lightningstrike	lightningstrike										1	8		h2h												A1	A1	xx				1		1	1								1											30	20					Charged Strike								1						1	6	24	1	1										20	radius	"min(ln34,12)"	hits					20	radius of jump to next target			4	Target hits	1	Target hits per level							14	damage synergy	1								8															ltng	1	0	0	0	0	0	1000	0	0	0	0	0	(skill('Charged Strike'.blvl)+skill('Power Strike'.blvl)) * par8								896	80000
Poison Nova Tomb Boss	451		poison nova		22												poisonnova																																																												necromancer_poison_cast															25					poisonnova												1	3		none												SC	SC	xx																	1						necromancer_poison_cast			30	20					Desecrate								1						1	8	20	0	1																																15	damage synergy	1								4															pois	16	4	6	10	16	24	29	4	6	10	16	24	(skill('Poison Dagger'.blvl)+skill('Desecrate'.blvl))*par8	50							896	80000
Power Strike Tomb Boss	452		power strike	10	14												powerstrikenova1	powerstrikenova1	powerstrikenova1						20																																																																			22					powerstrikenova1	powerstrikenova1	powerstrikenova1										1	4		h2h		spea										A1	A1	xx				1		1	1								1											6	20					Jab								1						1	4	32	3	1										1000	radius	0	hits																			20	damage synergy	1	20	12						8	128														ltng	1	0	0	0	0	0	1	0	0	0	0	0	(skill('Lightning Bolt'.blvl) + skill('Lightning Strike'.blvl)) * par8						4		384	40000
PoisonEggSpawn	453			43	173												poisonnova																																																												necromancer_poison_cast															109					poisonnova												1	3		none												SC	SC	xx																	1						necromancer_poison_cast			30	20					Desecrate								1						1	8	20	0	1																																15	damage synergy	1								4															pois	16	4	6	10	16	24	29	4	6	10	16	24	(skill('Poison Dagger'.blvl)+skill('Desecrate'.blvl))*par8	50							896	80000
Hydra Throne Boss	454		hydra	14	144																																											passive_fire_mastery	stat('passive_fire_mastery'.accr)	passive_fire_pierce	stat('passive_fire_pierce'.accr) / 2									hydra1	hydra	20	S2	HydraFireball	lvl	Fire Bolt	skill('Fire Bolt'.blvl)	Fire Ball	skill('Fire Ball'.blvl)							1	sorceress_cast_fire											fire_cast_2			17																		1	7		none												SC	SC	S1					4												1				1		sorceress_cast_fire	fire_cast_2		30	20					Enchant								1						1	7	40	1	1																		500	duration	0	additional duration/level											6	damage synergy	1								7															fire	84	16	23	31	38	44	117	20	25	35	41	47	(skill('Fire Bolt'.blvl) + skill('Lesser Hydra'.blvl))*par8								896	80000
